name,office,position,professionGroup,uah,usd,gbp,eur,total,region
Тихонов Володимир Валентинович,Міністерство фінансів України,Заступник директора Департаменту - начальник відділу,ministerstvo,120000,20000,,5000,30065,
Тичкова Олена Юріївна,Апеляційний суд Харківської області,Суддя,suddia,5801144,400000,,300,623447,Харків
Тищенко Вадим Іванович,прокуратура Миколаївської області,начальник Жовтневого відділу Миколаївської місцевої прокуратури №2,prokuratura,315000,80000,,,92115,Миколаїв
Тищенко Оксана Володимирівна,Київський апеляційний господарський суд,суддя,suddia,280000,30000,,,40769,Київ
Тищенко Ярослав Іванович,Генеральна прокуратура України,начальник першого відділу процесуального керівництва управління процесуального керівництва у кримінальних провадженнях слідчих Департаменту процесуального керівництва у кримінальних провадженнях слідчих центрального апарату ,prokuratura,170000,25000,,,31538,
Тіміш Григорій Іванович,Верховна Рада України,народний депутат України,deputat,830000,8500,,37000,80753,
Тісецький Сергій Сергійович,господарський суд Вінницької області,суддя,suddia,,174056,,,174056,Вінниця
Тітарчук Михайло Іванович,Кабінет Міністрів України,Заступник міністра ,ministerstvo,,51000,,,51000,
Тітов Олександр Миколайович,Харківський окружний адміністративний суд,Суддя,suddia,640,45000,,,45024,Харків
Тітуніна Катерина Вікторівна,Міністерство внутрішніх справ України,Начальник управління стратегічного аналізу та прогнозування - помічник Міністра Департаменту організаційно-апаратної роботи,ministerstvo,,49000,,,49000,
Тішко Дмитро Анатолійович,Центральний районний суд міста Миколаєва,Суддя,suddia,425000,47000,,,63346,
Ткаченко Борис Олександрович,Київський апеляційний господарський суд,суддя,suddia,82000,66900,,5800,76375,Київ
Ткаченко Валерій Вікторович,Київська місцева прокуратура № 8,Прокурор прокуратури,prokuratura,,110000,,,110000,Київ
Ткаченко Ігор Петрович,Прокуратура м.Києва,Прокурор відділу ведення Єдиного реєстру досудових розслідувань та інформаційно-аналітичної роботи прокуратури м.Києва,prokuratura,,25000,,,25000,
Ткаченко Леся Вікторівна,Прокуратура Полтавської області,Начальник відділу організаційного та правового забезпечення ,prokuratura,739613,,,,28446,Полтава
Ткаченко Юрій Іванович,Одеська обласна державна адміністрація,начальнік відділу,,803956,879800,,,910721,Одеса
Ткачук Геннадій Віталійович,Верховна Рада України,народний депутат України,deputat,3750000,680000,,170000,1009530,
Ткачук Олег Степанович,Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ,суддя,suddia,80000,119612,,1972,124838,
Ткачук Сергій Михайлович,Костопільська районна рада,голова Костопільської районної ради,golova,268649,39266,,,49598,
Товянська Олена Вікторівна,Апеляційний суд Житомирської області,суддя,suddia,890587,,,,34253,Житомир
Токарський Юрій Богданович,Міністерство закордонних справ України,радник-посланник посольства України в Республіці Австрія,ministerstvo,,,,60000,65400,
Толстенко Олександр Володимирович,Міністерство економічного розвитку і торгівлі України,Начальник управління взаємодії з органами державної влади та зв'язків з громадськістю,ministerstvo,554,39000,,,39021,
Топорков Максим Миколайович,Київська місцева прокуратура №1,прокурор Київської місцевої прокуратури №1,prokuratura,1372,37206,,,37258,Київ
Трачук Олег Вячеславович,Генеральна прокуратура України,начальник відділу,prokuratura,,107000,,,107000,
Третьяков Олександр Юрійович,Верховна Рада України,"Народний депутат України, Голова Комітету Верховної Ради України у справах ветеранів, учасників бойових дій, учасників антитерористичної операції та людей з інвалідністю",deputat,5381196,5485149,,2185478,8074289,
Третьякова Оксана Олегівна,Господарський суд Київської області,суддя,suddia,1134601,10000,,,53638,Київ
Третьякова Тетяна Вікторівна,Господарський суд Дніпропетровської області,Начальник відділу аналізу і узагальнення практики застосування законодавства господарського суду Дніпропетровської області,suddia,25000,67000,,,67961,Дніпропетровськ
Тригубенко Віталій Миколайович,прокуратура Херсонської області,прокурор Херсонської області,prokuratura,412205,75000,,,90854,Херсон
Тригубенко Сергій Миколайович,Верховна Рада України,Народний депутат України,deputat,150000,678300,,,684069,
Тризна Олександр Дмитрович,Відділ адміністрування податку на прибуток Київської ОДПІ м.Харкова,Заступник начальника відділу,ministerstvo,1097697,6136,,,48355,Київ
Трофімчук Віталій Вікторович,прокуратура Донецької області,заступник прокурора області,prokuratura,539660,14399,,,35155,Донецьк
ТРОЯН ВАДИМ АНАТОЛІЙОВИЧ,Національна поліція України,Перший заступник Голови Національної поліції України - начальник кримінальної поліції,slidchi,32230,114854,,6000,122633,
Троян Тетяна Євгенівна,Соснівський районний суд міста Черкаси,Суддя,suddia,,45000,,,45000,Черкаси
Трунов Руслан Вячеславович,прокуратура міста Києва,прокурор Київської місцевої прокуратури №6 міста Києва,prokuratura,,50000,,,50000,Київ
Трускавецький Степан Миколайович,Генеральна прокуратура України ,прокурор відділу ,prokuratura,30370,32000,,,33168,
Труханов Геннадій Леонідович,Виконавчий комітет Одеської міської ради,Одеський міський голова,golova,1928809,535457,,,609641,Одеса
Трясун Юрій Ростиславович,Апеляційний суд міста Києва ,суддя,suddia,1250,60000,,,60048,
Тука Георгій Борисович,Міністерство з питань тимчасово окупованих територій та вимушено переміщений осіб України,заступник Міністра,ministerstvo,1181500,73120,,12000,131642,
Туманова Катерина Леонідівна,Бориспільський міськрайонний суд Київської області ,суддя ,suddia,,120000,,,120000,Київ
Туній Ольга Григорівна,Державна архітектурно-будівельна інспекція України,"Заступник начальника управління-начальник відділу зв'язків з громадськістю та ЗМІ Управління організаційного забезпечення, зв'язків з громадськістю, ЗМІ та інформатизації",inspector,1198007,15000,,,61077,
Тупицький Олександр Миколайович,Конституційний Суд України,суддя,suddia,198201,17000,,40000,68223,
Туренко Олександр Валентинович,Обухівська Районна Державна Адміністрація,Голова,,200000,506000,,,513692,
Туровська Вікторія Геннадіївна,Київська місцева прокуратура №5,прокурор,prokuratura,356000,18000,,,31692,Київ
Туровський Станіслав Адольфович,Генеральна прокуратури України ,начальник відділу нагляду за додержанням законів при провадженні досудового слідства,prokuratura,205000,49000,,,56884,
Туровський Ярослав Станіславович,прокуратура Київської області,прокурор відділу нагляду за додержанням законів територіальними органами поліції при провадженні досудового розслідування та підтриманням державного обвинувачення управління нагляду у кримінальному провадженні ,prokuratura,356000,18000,,,31692,Київ
Турчин Сергій Олександрович,Господарський суд міста Києва,суддя,suddia,370000,23000,,,37230,
Турчинов Олександр Валентинович,Рада національної безпеки і оборони України,Секретар Ради національної безпеки і оборони України,,305242,1493306,,66672,1577718,
Тюлєнєв Сергій Анатолійович,Міністерство юстиції України,"заступник директора департамента - начальник управління соціального, трудового та гуманітарного законодавства Департаменту публічного права Міністерства юстиції України",ministerstvo,100000,50000,,,53846,
Угровецький Павло Олегович,Прокуратура Харківської області,Начальник відділу нагляду за дродержанням законів органами СБУ та державної прикордонної служби управління нагляду у кримінальному провадженні,prokuratura,,57000,,,57000,Харків
Удовиченко Олександр Сергійович,Вищий господарський суд України,суддя,suddia,360000,28163,,9700,52582,
Ул’яновська Оксана Василівна,Святошинський районний суд м. Києва,суддя,suddia,,35000,,,35000,
Улінець Ігор Олегович,Києво-Святошинська місцева прокуратура Київської області,начальник Вишгородського відділу,prokuratura,,43000,,,43000,Київ
Улінець Олег Євстахійович,Генеральна прокуратура України,начальник управління організації прийому громадян розгляду звернень та запитів,prokuratura,683752,104000,,,130298,
Уманець Олексій Вікторович,Прокуратура Одеської області ,заступник начальника відділу нагляду за додержанням законів органами фіскальної служби ,prokuratura,760000,,,,29230,Одеса
УНГУРЯН ПАВЛО ЯКИМОВИЧ,Верховна Рада України,Народний депутат України,deputat,1159815,188004,,19500,253867,
Урбанський Анатолій Ігорович,Одеська обласна рада,Голова Одеської обласної ради 7 скликання,golova,25146879,,,,967187,Одеса
Урбанський Олександр Ігорович,Верховна Рада України,Народний депутат України,deputat,25000000,,,,961538,
Усатий Віталій Олександрович,Господарський суд Харківської області,Голова суду,golova,520000,15100,,9250,45182,Харків
Усенко Сергій Іванович,Балакійський районний суд Харківської області,суддя,suddia,,57015,,1894,59079,Харків
Усенко Юрій Федорович,Київська місцева прокуратура №4,Перший заступник керівника,prokuratura,,30000,,,30000,Київ
Усов Костянтин Глібович,Верховна Рада України,Народний депутат України,deputat,421014,103000,,,119192,
Устименко Валентина Євгенівна,Апеляційний суд Харківської області,Суддя,suddia,627901,,,,24150,Харків
Устименко Євген Вікторович,Головна військова прокуратура Генеральної прокуратури України ,"прокурор відділу процесуального керівництва досудовим розслідуванням та підтримання державного обвинувачення у кримінальних провадженнях слідчого відділу управління процесуального керівництва та нагляду за додержанням законів органами, що провадять оперативно-розшукову діяльність",prokuratura,567654,187300,,235,209388,
Уткін Владислав Анатолійович,Гайсинська районна державна адміністрація,голова Гайсинської районної державної адміністрації,golova,,33000,,,33000,
Уткін Євген Анатолійович,Міністерство закордонних справ України,Завідуючий Сектором внутрішнього аудиту,ministerstvo,,78000,,,78000,
Ущапівський Ярослав Володимирович,Генеральна прокуратура України,слідчий в особливо важливих справах першого слідчого відділу управління спеціальних розслідувань Департаменту спеціальних розслідувань Генеральної прокуратури України ,prokuratura,385000,11500,,3500,30122,
Фаєр Юлія Григорівна,Господарський суд Одеської області,суддя господарського суду Одеської області,suddia,1900000,,,,73076,Одеса
Фаєрмарк Сергій Олександрович,Верховна Рада України,"Народний депутат України Голова підкомітету з питань господарського законодавства, антимонопольної політики, розвитку економічної конкуренції Комітету Верховної Ради України з питань економічної політики",deputat,400000,150000,,,165384,
Фазикош Ганна Василівна,апеляційний суд Закарпатської області,суддя,suddia,,25000,,,25000,Закарпаття
Файдевич Андрій Анатолійович,прокуратура Херсонської області,начальник управління нагляду у кримінальному провадженні,prokuratura,,62000,,,62000,Херсон
Фанда Оксана Михайлівна,Господарський суд Івано-Франківської області,суддя,suddia,,113000,,,113000,Івано-Франківськ
Фархадов Фархад Габілович,Міністерство внутрішніх справ України,начальник управління ресурсів Департаменту державного майна та ресурсів,ministerstvo,800384,,,,30784,
Федевич Олег Михайлович,Міністерство регіонального розвитку будівництва та житлово - комунального господарства України,Начальник управління нормативно-методичного забезпечення Департаменту систем життєзабезпечення та житлової політики,ministerstvo,,34000,,,34000,
Федіна Валентина Степанівна,Прокуратура Київської області,Слідчий в особливо важливих справах,prokuratura,,47000,,,47000,Київ
Федоренко Дмитро Віталійович,Головного управління Національної поліції в Дніпропетровській області,заступник начальника слідчого управління Головного управління Національної поліції в Дніпропетровській області,slidchi,200000,30000,,,37692,Дніпропетровськ
Федорова Олена Владиславівна,господарський суд Запорізької області,суддя,suddia,,82180,,,82180,Запоріжжя
Федорук Микола Трохимович,Верховна Рада України,"голова підкомітету комітету з питань державного будівництва,регіональної політики та місцевого самоврядування",deputat,543230,65000,,7000,93523,
Федорчук Андрій Богданович,Окружний адміністративний суд міста Києва,суддя,suddia,,52000,,,52000,
Федорчук Володимир Ярославович,Секретаріат Кабінету Міністрів України,Заступник Міністра Кабінету Міністрів,ministerstvo,,50000,,,50000,
Федорчук Руслан Васильович,Київський апеляційний господарський суд,суддя,suddia,,28700,,,28700,Київ
Федоряк Тимур Віталійович,Дніпропетровська місцева прокуратура №3,прокурор,prokuratura,,80000,,,80000,Дніпропетровськ
Федотов Ігор В’ячеславович,Київський апеляційний адміністративний суд,суддя,suddia,412502,121953,,,137818,Київ
Федунів Анатолій Дмитрович,Генеральна прокуратура України,начальник відділу організаційно-аналітичного забезпечення діяльності Генерального прокурора України управління організаційно-аналітичного забезпечення діяльності керівництва Департаменту забезпечення діяльності керівництва Генеральної прокуратури України,prokuratura,,25000,,,25000,
Федусик Андрій Григорович,Одеський апеляційний адміністративний суд,суддя,suddia,1225253,,,187,47328,Одеса
Федченко Тетяна Йосипівна,Міністерство фінансів України,заступник начальника загального відділу Департаменту документообігу та контролю за виконанням документів,ministerstvo,10721,,,23052,25539,
Федько Юрій Михайлович,Самарська районна у місті Дніпрі рада,Голова ради,golova,1054021,10000,,3010,53820,
Федюк Олексій Тарасович,Прокуратура Одеської області,Начальник відділу прокуратури Одеської області,prokuratura,180000,62000,,,68923,Одеса
Федюк Юрій Петрович,Генеральна прокуратура України,прокурор відділу,prokuratura,951772,52755,,,89361,
Фелонюк Діана Леонідівна,Хмельницький окружний адміністративний суд,суддя,suddia,,62000,,,62000,Хмельницький
Фельдман Олександр Борисович,ВЕРХОВНА РАДА УКРАЇНИ,народний депутат України,deputat,529880,3169312,,1433,3191253,
Ференс Олена Миколаївна,Міністерство юстиції України,директор департаменту,ministerstvo,,40000,,,40000,
Феха Таміла Степанівна,Демидівський районний суд Рівненської області,суддя,suddia,12150,24000,,,24467,Рівне
Фещук Уляна Юріївна,Національна рада України з птиань телебачення і радіомовлення,заступник голови,golova,59148,89000,,,91274,
Філатов Борис Альбертович,Дніпровська міська рада,Дніпровський міський голова,golova,5100000,1458000,,,1654153,Дніпропетровськ
Філатов Олексій Валерійович,Адміністрація Президента України,Заступник Глави Адміністрації Президента України,,1800000,2094835,,25000,2191315,
Філатов Сергій Васильович,Національне антикорупційне бюро України,Детектив Третього відділу Першого підрозділу,slidchi,,120000,,,120000,
Філипенко Євген Сергійович,Державна фінансова інспекція в Донецькій області ,начальник відділу правової роботи ,inspector,680000,20000,,,46153,Донецьк
Філоненко Тарас Михайлович,Національне антикорупційне бюро України,старший детектив - керівник відділу детективів,slidchi,215526,27550,3000,9395,49680,
Філончук Валерій Васильович,Державна архітектурно-будівельна інспекція України,Перший заступник Голови Державної архітектурно-будівельної інспекції України,inspector,250000,100000,,,109615,
ФІСАК АНДРІЙ ПЕТРОВИЧ,Виконавчий комітет Нікопольської міської ради,Міський голова,golova,1621750,47000,,,109375,
Флєгонтова Вікторія Вікторівна,Генеральна прокуратура України,начальник управління забезпечення діяльності військових прокуратур Головної військової прокуратури Генеральної прокуратури України,prokuratura,39730,28000,,16000,46968,
Фодчук Анатолій Богданович,Міністерство внутрішніх справ України,начальник Управління запобігання корупції та проведення люстрації ,ministerstvo,206567,29900,,,37844,
Фоменко Євген Сергійович,Національна комісія з цінних паперів та фондового ринку,Директор департаменту інформаційних технологій,,385818,366011,,216603,616947,
Фоменко Світлана Валеріївна,Міністерство культури України,перший заступник Міністра культури України,ministerstvo,670000,36000,,,61769,
Фомічов Сергій Євгенович,Апеляційний суд Кіровоградської області,Суддя,suddia,,35000,,,35000,Кіровоград
Фраціян Олександр Васильович,Управління СБУ в Чернівецькій області,Заступник начальника слідчого відділу,slidchi,,110000,,30000,142700,Чернівці
Фріз Ірина Василівна,Верховна Рада України,народний депутат України,deputat,612148,222000,,,245544,
Фролов Максим Олександрович,Голосіївський районний суд міста Києва,Суддя,suddia,150000,110000,,,115769,
Фролов Микола Олександрович,Верховна Рада України,Народний депутат України,deputat,367435,17000,,,31132,
Фурик Юрій Петрович,Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ,суддя,suddia,,24500,,,24500,
Фурман Володимир Михайлович,Прокуратура міста Києва,заступник керівника Київської місцевої прокуратури №6,prokuratura,,115000,,,115000,Київ
Хабазня Юрій Андрійович,Господарський суд Черкаської області,"суддя, заступник голови суду",golova,165464,21339,,3501,31519,Черкаси
Хадарін Володимир Михайлович,Генеральна прокуратура України,прокурор відділу організації діяльності у сфері запобігання та протидії корупції,prokuratura,209882,41000,,,49072,
Хайнацький Євген Сергійович,Апеляційний суд міста Києва,начальник відділу документального забезпечення діяльності голови суду та його заступників,suddia,,55000,,2249,57451,
Халаджи Ольга Володимирівна,Апеляційний суд Донецької області,суддя,suddia,,40000,,,40000,Донецьк
Халін Олег Валерійович,Прокуратура Дніпропетровської області ,Заступник прокурора області,prokuratura,1506314,,,,57935,Дніпропетровськ
Харакоз Костянтин Сергійович,господарський суд Донецької області ,суддя,suddia,43831,87500,,,89185,Донецьк
Харкевич Ігор Петрович,Офіс великих платників податків ДФС,старший слідчий з особливо важливих справ першого відділу кримінальних проваджень слідчого управління фінансових розслідувань Офісу великих платників податків ДФС,slidchi,80000,23500,,,26576,
Харлов Олександр Олександрович,Прокуратура міста Києва ,Начальник управління нагляду у кримінальному провадженні прокуратури міста Києва,prokuratura,727909,52000,,12000,93076,
Хасаєв Костянтин Назімович,Прокуратура міста Києва,слідчий в ОВС ,prokuratura,1192021,,,,45846,
Хижняк Сергій Миколайович,прокуратура Київської області,прокурор відділу,prokuratura,,50000,,,50000,Київ
Химинець Василь Васильович,Міністерство закордонних справ,Директор першого європейського департаменту,ministerstvo,603694,6000,,9535,39612,
Химченко Олексій Сергійович,прокуратура Одеської області,керівник Одеської місцевої прокуратури №3,prokuratura,1060000,,,,40769,Одеса
Хім'як Юрій Богданович,Вищий спеціалізований суд України з розгляду цивільних і кримінальних справ,Заступник начальника науково-експертного управління - начальник відділу нормативно-правової роботи,suddia,700000,,,,26923,
Хіміч Володимир Михайлович,Дніпровський районний суд м.Києва ,суддя,suddia,24883,30067,,,31024,Дніпропетровськ
Хлань Сергій Володимирович,Верховна Рада України,народний депутат України,deputat,5500000,450000,,,661538,
ХМЕЛЬНЮК ВАЛЕРІЙ ЯКОВИЧ,Чорноморська міська рада,Міський голова,golova,842268,43857,,17471,95295,
ХМІЛЬ МИХАЙЛО МИХАЙЛОВИЧ,Верховна Рада України,Народний депутат України,deputat,300000,65000,,,76538,
Холод Євгеній Миколайович,Полтавська обласна рада,Перший заступник голови обласної ради,golova,1000000,,,,38461,Полтава
Холод Руслан Віталійович,Черкаський окружний адміністративний суд,суддя,suddia,11572,120000,,11000,132435,Черкаси
ХОЛОДНИЦЬКИЙ НАЗАР ІВАНОВИЧ,Спеціалізована антикорупційна прокуратура Генеральної прокуратури України,Заступник Генерального прокурора України - керівник Спеціалізованої антикорупційної прокуратури,prokuratura,111293,57000,,12000,74360,
Холоднюк Зеновій Васильович,Державна судова адміністрація України,Голова Державної судової адміністрації України,golova,2060283,1118,,,80359,
Холявченко Валерій Леонідович,Державна податкова інспекція у Бабушкінському районі міста Дніпро ГУ ДФС у Дніпропетровській області,Начальник відділу погашення боргу,inspector,735000,3000,,2000,33449,Дніпропетровськ
Хоманець Володимир Анатолійович,Міністерство закордонних справ,Заступник начальника Управління економічного співробітництва - начальник відділу міжнародних фінансових інституцій,ministerstvo,,100000,,,100000,
Хоменко Лариса Василівна,Чернігівський районний суд Чернігівської області ,Суддя Чернігівського районного суду Чернігівської області,suddia,3980,32864,,,33017,
Хомко Володимир Євгенович,Рівненський міськвиконком,Міський голова,golova,24001,70000,,40000,114523,Рівне
Хомутиннік Віталій Юрійович,Апарат Верховної Ради України,Народний депутат України,deputat,103888874,14161936,,973555,19218836,
Хоній Зоя Володимирівна,Дубенська об'єанана державна податкова інспекція Головного управління ДФС у Рівненській області,начальник Дубенської ОДПІ ГУ ДФС у Рівненській області,inspector,,46000,,,46000,Рівне
Хохленков Олександр Всеволодович,Донецький окружний адміністративний суд ,суддя,suddia,734000,,,,28230,Донецьк
Хоцянівська Наталія Володимирівна,"Міністерство регіонального розвитку, будівництва та житлово-комунального господарства України",Директор Департаменту економіки систем життєзабезпечення,ministerstvo,2511561,,,,96598,
Хребтак Віталій Ярославович,Генеральна прокуратура України,"Начальник управління з розслідування злочинів, скоєних працівниками правоохоронних органів",prokuratura,208550,16050,,,24071,
Хрипливий Євген Володимирович,Прокуратура Тернопільської області ,Прокурор відділу підтримання державного обвинувачення в суді ,prokuratura,,21668,,3000,24938,Тернопіль
Хрипун Олег Олексійович,Київський апеляційний господарський суд,Голова суду,golova,,28000,,,28000,Київ
Христенко Олена Олександрівна,господарський суд Київської області,суддя,suddia,693400,30500,,,57169,Київ
ХРІМЛІ ОЛЕКСАНДР ГЕННАДІЙОВИЧ,Київський апеляційний адміністративний суд ,суддя,suddia,13078,40000,,,40503,Київ
Хромаєв Тимур Заурбекович,Національна комісія з цінних паперів та фондового ринку,Голова Національної комісії з цінних паперів та фондового ринку,,12230982,403300,,,873722,
Цап Іштван Юліусович,Ужгородська міська рада,Перший заступник міського голови,golova,,27000,,,27000,Закарпаття
Цвіркун Юрій Іванович,Вищий адміністративний суд України,Суддя,suddia,783432,,,,30132,
Цибенко Олександр Сергійович,Генеральна прокуратура України ,Начальник слідчого управління Головної військової прокуратури Генеральної прокуратури України,prokuratura,,25000,,,25000,
Цибуліна Ольга Владиславівна,Міністерство освіти і науки України,начальник відділу з питань обліку державного майна управління з питань обліку державного майна та підприємств ,ministerstvo,,30400,,,30400,
Циктіч Віталій Михайлович,Шевченківський районний суд м. Києва,суддя,suddia,1198950,30000,,,76113,
ЦИРУЛЬНІКОВ АНДРІЙ СЕРГІЙОВИЧ,Шевченківське управління поліції ГУ НП у м. Києві,Заступник начальника відділу поліції - начальник слідчого відділення,slidchi,237000,14964,,,24079,
Цісельський Олег Володимирович,господарський суд Одеської області,суддя,suddia,179000,10000,,25030,44167,Одеса
Цуркан Ольга Дмитрівна,Новоселицька районна рада,заступник голови ,golova,460000,35000,,5000,58142,
Цховребов Алан Олександрович,Прокуратура Дніпропетровської області,Начальник управління прокуратури Дніпропетровської області,prokuratura,740000,,,,28461,Дніпропетровськ
Цюпка Володимир Миколайович,Державна податкова інспекція м. Полтаві Головного управління ДФС у Полтавській області,заступник начальника,inspector,42000,34500,,,36115,Полтава
Чабан Вадим Іванович,Херсонська обласна державна адміністрація,Заступник голови Херсонської обласної державної адміністрації,golova,1068050,,,,41078,Херсон
Чайка Дар'я Юріївна,Міністерство освіти і науки України,начальник відділу,ministerstvo,840396,,,,32322,
Чайкін Ігор Борисович,Жовтневий районний суд міста Кривого рога Дніпропетровської області,суддя,suddia,1372295,60000,,,112780,Дніпропетровськ
Чайкіна Ольга Володимирівна,Дзержинський районний суд міста Кривого Рогу Дніпропетровської області,Суддя,suddia,1372295,60000,,,112780,Дніпропетровськ
Чаку Євген Васильович, Київський апеляційний адміністративний суд,суддя,suddia,,27000,,201,27219,Київ
Чала Ірина Олександрівна,Міністрество інфраструктури України,Директор департаменту міжнародного співробітництва (у відпустці по догляду за дитиною до досягнення нею трирічного віку),ministerstvo,,70000,,30000,102700,
Чалий Ігор Сергійович,Харківський апеляційний адміністративний суд,суддя,suddia,320000,23000,,4000,39667,Харків
Чапічадзе Ігор Юзович,ДФС у Харківській області,Начальник Слідчого Управління ФР ГУ ДФС у Харківській області,slidchi,1070000,190000,,,231153,Харків
Чаплицький Віктор Володимирович,Київський районний суд міста Одеси,Суддя,suddia,853164,127000,,,159814,Київ
Чеберяк Павло Петрович,Господарський суд міста Києва,суддя,suddia,19919,43000,,50,43820,
Чебикіна Світлана Олександрівна,Господарський суд міста Києва,суддя господарського суду міста Києва,suddia,718720,,,,27643,
Чеботарьов Юрій Юрійович,Конотопська об’єднана державна податкова інспекція Головного управління ДФС у Сумській області,Заступник начальника,inspector,,35000,,5000,40450,Суми
Чекіта Геннадій Леонідович,Верховна Рада УкраЇни,Народний депутат України,deputat,955382,2873170,,562356,3522883,
Чемеринська Оксана Юріївна,господарський суд Хмельницької області,заступник керівника апарату ,suddia,65236,394250,,90111,494980,Хмельницький
Чемний Орест Володимирович,прокуратура Львівської області,начальник відділу управління нагляду у кримінальному провадженні прокуратури Львівської області ,prokuratura,930,24932,,1530,26635,Львів
Чепурний Віталій Миколайович,Міністерство юстиції України,Заступник директора департаменту - начальник Управління контролю за діяльністю органів державної виконавчої служби Департаменту державної виконавчої служби Міністерства юстиції України ,ministerstvo,,50000,,,50000,
Чепурной Олександр Анатолійович,Прокуратура м. Києва,Заступник начальника відділу організації представництва,prokuratura,180000,10000,,10000,27823,
Червакова Ольга Валеріївна,Верховна Рада України,"народний депутат України, Перший заступник голови Комітету Верховної Ради з питань свободи слова та інформаційної політики",deputat,,80000,,,80000,
Чередко Антон Євгенович,Дніпропетровський апеляційний господарський суд ,суддя,suddia,31956,22094,,11000,35313,Дніпропетровськ
Чередниченко Владислав Євгенійович,Дніпропетровський апеляційний адміністративний суд,суддя,suddia,,37000,,,37000,Дніпропетровськ
Черкаський Ігор Борисович,Державна служба фінансового моніторингу України,Голова,,743791,580969,,218096,847300,
Черкес Богдан Зеновійович,Військова прокуратура Західного регіону України,Прокурор відділу нагляду за додержанням законів у кримінальному провадженні та при проведенні оперативно-розшукової діяльності військової прокуратури Західного регіону України ,prokuratura,,81400,,,81400,
Чернега Олександр Миколайович,Генеральна прокуратура України,Начальник відділу криміналістичного супроводження та інформаційно-аналітичної роботи Департаменту спеціальних розслідувань,prokuratura,108529,32500,,,36674,
